year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23
2018,1,4.68,6.03,0.87,3.32,0.63,1.62,0.60,0.96,1.15,1.74,64.29,1.00,0.36,2.80,0.36,0.96,3.43,11.36,6.84,19.15,0.07,0.18,0.13
2017,1,4.85,5.82,0.97,3.86,0.67,1.72,0.57,0.86,1.03,1.29,61.69,1.00,0.38,2.61,0.38,1.15,3.34,15.17,8.66,22.61,0.09,0.26,0.16
2016,1,4.45,5.39,0.76,3.65,0.65,2.01,0.70,1.08,1.32,1.59,65.00,1.05,0.38,2.61,0.40,1.16,3.34,9.92,6.96,17.24,0.07,0.20,0.13
2015,1,8.12,9.28,0.97,6.54,0.82,4.08,0.75,0.92,1.03,1.30,31.30,1.00,0.69,1.46,0.69,3.74,7.81,10.52,7.89,11.49,0.08,0.43,0.11
2014,1,5.30,6.72,1.29,3.90,0.80,2.61,0.53,0.66,0.77,1.13,25.27,1.00,0.75,1.34,0.75,3.71,6.29,8.32,4.38,5.86,0.04,0.22,0.06
2013,1,5.82,6.33,2.11,5.37,0.92,4.30,0.37,0.40,0.47,0.47,23.59,1.00,0.76,1.31,0.76,9.00,5.28,13.04,4.76,6.23,0.05,0.56,0.06
2012,0,3.64,4.58,17.13,2.92,0.91,0.45,0.04,0.05,0.06,0.07,24.35,1.00,0.76,1.32,0.76,8.27,3.81,-96.92,-4.02,-5.31,-0.04,-0.44,-0.06
2011,0,0.37,1.06,0.21,0.07,0.75,0.85,0.21,0.28,4.70,4.26,75.25,1.00,0.25,4.04,0.25,0.98,0.35,-62.13,-13.22,-53.39,-0.13,-0.53,-2.92
2018,1,0.45,0.76,-0.13,0.11,0.67,4.95,1.62,2.41,-7.73,16.52,95.34,1.00,0.05,21.44,0.05,0.14,0.05,0.17,0.28,5.95,0.00,0.01,-0.01
2017,1,0.57,0.73,-0.18,0.06,0.62,3.36,1.26,2.01,-5.45,26.75,93.29,1.00,0.07,14.91,0.07,0.18,0.08,0.63,0.79,11.73,0.01,0.02,-0.03
2016,1,0.68,0.95,-0.02,0.03,0.80,11.20,2.21,2.76,-51.68,92.71,97.30,1.00,0.03,37.04,0.03,0.14,0.03,0.43,0.95,35.12,0.01,0.05,-0.22
2015,1,0.72,0.94,-0.02,0.22,0.78,10.73,2.38,3.05,-45.00,12.93,95.96,1.00,0.04,24.77,0.04,0.18,0.05,0.54,1.27,31.55,0.01,0.06,-0.24
2014,1,0.72,0.92,-0.03,0.06,0.79,9.54,2.03,2.58,-29.15,41.02,98.52,1.00,0.01,67.65,0.01,0.07,0.02,0.87,1.76,119.39,0.02,0.08,-0.25
2013,1,0.69,0.94,-0.03,0.10,0.79,7.78,1.62,2.05,-30.68,19.20,97.08,1.00,0.03,34.30,0.03,0.14,0.03,0.95,1.55,53.02,0.02,0.07,-0.29
2012,1,0.80,0.98,-0.01,0.01,0.80,9.42,1.89,2.37,-118.81,157.52,98.10,1.00,0.02,52.59,0.02,0.09,0.02,0.75,1.41,74.37,0.01,0.07,-0.89
2011,1,0.85,0.99,-0.01,0.10,0.79,6.65,1.41,1.79,-165.09,17.54,97.68,1.00,0.02,43.15,0.02,0.11,0.03,1.17,1.65,71.34,0.02,0.08,-1.93
2018,1,1.44,1.61,0.89,0.09,0.72,1.11,0.31,0.43,1.13,7.81,81.90,1.00,0.18,5.52,0.18,0.65,0.40,6.27,1.94,10.72,0.02,0.07,0.07
2017,1,1.60,1.80,1.02,0.17,0.69,0.96,0.30,0.43,0.98,4.65,75.14,1.00,0.25,4.02,0.25,0.80,0.65,9.71,2.91,11.70,0.03,0.09,0.09
2016,1,1.57,1.70,0.83,0.13,0.66,0.95,0.33,0.49,1.20,6.67,73.53,1.00,0.26,3.78,0.26,0.77,0.68,8.24,2.68,10.12,0.03,0.08,0.10
2015,1,1.77,2.02,0.96,0.15,0.70,1.21,0.37,0.52,1.04,7.15,73.15,1.00,0.27,3.72,0.27,0.89,0.78,7.14,2.62,9.74,0.03,0.09,0.07
2014,1,1.90,2.23,1.22,0.25,0.69,1.02,0.31,0.45,0.82,3.99,71.72,1.00,0.28,3.54,0.28,0.92,0.91,9.44,2.96,10.47,0.03,0.10,0.08
2013,1,2.15,2.65,1.68,0.11,0.66,0.73,0.25,0.37,0.59,8.89,71.92,1.00,0.28,3.56,0.28,0.84,1.12,9.77,2.40,8.55,0.02,0.07,0.06
2012,1,2.79,3.12,1.36,0.24,0.66,0.54,0.33,0.50,0.73,6.61,77.17,1.00,0.23,4.38,0.23,0.37,1.07,11.14,3.69,16.16,0.04,0.06,0.08
2011,1,2.75,3.01,1.09,0.26,0.67,0.63,0.41,0.61,0.92,7.19,78.74,1.00,0.21,4.70,0.21,0.32,0.95,14.70,6.05,28.45,0.06,0.09,0.14
2018,1,0.57,1.19,0.18,0.12,0.76,2.80,0.67,0.89,5.50,8.90,63.64,1.00,0.36,2.75,0.36,1.51,0.57,3.88,2.62,7.20,0.03,0.11,0.21
2017,1,0.65,1.22,0.20,0.14,0.75,2.77,0.68,0.90,4.99,7.76,82.68,1.00,0.17,5.77,0.17,0.70,0.28,6.71,4.57,26.41,0.05,0.19,0.33
2016,1,0.65,1.15,0.13,0.14,0.73,2.66,0.73,1.00,7.78,8.22,80.47,1.00,0.20,5.12,0.20,0.71,0.31,2.98,2.16,11.06,0.02,0.08,0.23
2015,1,0.51,1.21,0.18,0.13,0.70,2.26,0.68,0.97,5.70,9.17,75.98,1.00,0.24,4.16,0.24,0.80,0.41,5.80,3.94,16.41,0.04,0.13,0.33
2014,1,0.61,1.18,0.21,0.22,0.76,2.25,0.55,0.73,4.88,3.87,79.02,1.00,0.21,4.77,0.21,0.86,0.33,5.02,2.76,13.17,0.03,0.11,0.25
2013,1,0.57,1.23,0.31,0.16,0.76,1.90,0.45,0.60,3.22,4.58,96.91,1.00,0.03,32.32,0.03,0.13,0.05,3.12,1.42,45.91,0.01,0.06,0.10
2012,1,0.50,1.23,0.30,0.06,0.71,1.48,0.43,0.61,3.30,12.89,76.87,1.00,0.23,4.32,0.23,0.79,0.40,6.51,2.81,12.15,0.03,0.10,0.21
2011,1,0.85,1.36,0.58,0.15,0.86,1.73,0.39,0.46,1.71,4.08,80.91,1.00,0.19,5.24,0.19,0.84,0.30,6.20,2.44,12.79,0.02,0.11,0.11
2018,1,1.05,1.86,0.23,0.23,0.82,9.21,1.64,2.00,4.33,16.08,88.07,1.00,0.12,8.38,0.12,0.67,0.27,3.37,5.54,46.43,0.06,0.31,0.15
2017,1,1.20,1.93,0.25,0.24,0.80,7.58,1.55,1.94,4.02,15.55,91.66,1.00,0.08,11.99,0.08,0.41,0.20,5.56,8.60,103.18,0.09,0.42,0.22
2016,1,1.50,2.59,0.29,0.37,0.79,8.25,1.70,2.14,3.49,14.84,85.82,1.00,0.14,7.05,0.14,0.69,0.46,5.87,9.98,70.36,0.10,0.48,0.20
2015,1,1.13,2.02,0.22,0.15,0.77,7.61,1.74,2.25,4.46,30.30,89.25,1.00,0.11,9.30,0.11,0.47,0.28,5.80,10.07,93.71,0.10,0.44,0.26
2014,1,1.10,1.72,0.22,0.31,0.80,7.73,1.55,1.94,4.64,10.87,86.74,1.00,0.13,7.54,0.13,0.66,0.28,2.46,3.82,28.81,0.04,0.19,0.11
2013,1,1.19,1.94,0.21,0.30,0.76,7.14,1.74,2.30,4.77,15.09,85.40,1.00,0.15,6.85,0.15,0.60,0.37,6.38,11.11,76.10,0.11,0.46,0.30
2012,1,1.36,2.12,0.20,0.55,0.76,8.26,1.97,2.58,4.88,10.00,86.28,1.00,0.14,7.29,0.14,0.58,0.38,10.35,20.36,148.37,0.20,0.85,0.51
2011,1,1.53,1.99,0.18,0.59,0.74,7.83,2.07,2.81,5.66,9.48,83.79,1.00,0.16,6.17,0.16,0.61,0.44,7.66,15.83,97.64,0.16,0.60,0.43
2018,1,12.00,12.86,1.75,3.81,0.79,2.00,0.42,0.53,0.57,1.78,97.06,1.00,0.03,34.03,0.03,0.14,0.48,41.29,17.22,586.04,0.17,0.83,0.24
2017,1,9.81,10.63,1.81,0.52,0.78,1.75,0.39,0.50,0.55,10.16,97.17,1.00,0.03,35.39,0.03,0.13,0.39,37.92,14.77,522.72,0.15,0.66,0.21
2016,1,15.88,17.08,1.82,0.91,0.78,0.98,0.41,0.52,0.55,9.73,97.40,1.00,0.03,38.53,0.03,0.06,0.57,40.60,16.49,635.28,0.16,0.40,0.22
2015,1,14.86,16.14,1.78,1.06,0.75,1.62,0.40,0.53,0.56,8.07,97.75,1.00,0.02,44.36,0.02,0.09,0.48,42.12,16.78,744.29,0.17,0.68,0.24
2014,1,13.56,14.89,1.64,0.39,0.74,1.63,0.42,0.57,0.61,21.47,98.21,1.00,0.02,55.89,0.02,0.07,0.36,41.23,17.35,969.80,0.17,0.67,0.25
2013,1,11.17,12.37,1.52,0.89,0.72,1.56,0.43,0.60,0.66,8.39,98.68,1.00,0.01,76.04,0.01,0.05,0.23,41.53,18.06,"1,373.62",0.18,0.65,0.27
2012,1,11.13,12.97,1.08,3.03,0.61,1.33,0.52,0.85,0.92,3.65,97.50,1.00,0.02,40.02,0.02,0.06,0.53,28.63,14.87,595.18,0.15,0.38,0.26
2011,1,11.68,12.70,0.84,4.06,0.37,0.65,0.41,1.10,1.19,3.44,88.31,1.00,0.12,8.56,0.12,0.19,3.99,19.83,8.11,69.36,0.08,0.13,0.24
2018,0,0.90,1.01,0.02,0.03,0.69,0.71,0.22,0.32,41.35,11.45,68.94,1.00,0.31,3.22,0.31,1.00,0.45,-0.97,-0.22,-0.69,0.00,-0.01,-0.40
2017,0,0.94,1.00,-0.01,0.06,0.68,0.78,0.25,0.37,-110.09,6.35,69.85,1.00,0.30,3.32,0.30,0.94,0.44,-7.18,-1.79,-5.95,-0.02,-0.06,7.90
2016,0,0.97,1.03,0.05,0.01,0.68,1.11,0.35,0.52,19.05,43.20,71.26,1.00,0.29,3.48,0.29,0.90,0.43,-11.39,-4.02,-13.98,-0.04,-0.13,-2.17
2015,1,1.05,1.11,0.22,0.10,0.69,1.03,0.32,0.47,4.61,5.13,71.41,1.00,0.29,3.50,0.29,0.92,0.46,0.64,0.21,0.72,0.00,0.01,0.03
2014,1,1.10,1.16,0.21,0.06,0.58,0.94,0.39,0.66,4.73,12.81,63.38,1.00,0.37,2.73,0.37,0.88,0.73,2.26,0.88,2.40,0.01,0.02,0.11
2013,1,1.13,1.18,0.31,0.04,0.66,0.99,0.33,0.50,3.23,13.83,72.12,1.00,0.28,3.59,0.28,0.83,0.50,5.83,1.94,6.95,0.02,0.06,0.19
2012,1,0.13,1.19,0.40,0.08,0.73,1.09,0.29,0.40,2.51,6.17,81.42,1.00,0.19,5.38,0.19,0.69,0.30,2.62,0.77,4.13,0.01,0.03,0.07
2011,0,1.14,1.18,0.36,0.02,0.66,0.83,0.28,0.42,2.77,20.45,68.04,0.89,0.23,4.27,0.21,0.62,0.37,-28.72,-8.06,-38.74,-0.09,-0.24,-0.80
2018,1,2.09,2.21,0.66,0.19,0.55,1.01,0.46,0.83,1.52,9.68,71.98,1.00,0.28,3.57,0.28,0.62,1.13,11.30,5.16,18.40,0.05,0.11,0.17
2017,1,2.02,2.07,0.62,0.15,0.52,0.91,0.43,0.83,1.60,11.38,67.83,1.00,0.32,3.11,0.32,0.67,1.27,14.35,6.20,19.27,0.06,0.13,0.23
2016,1,1.75,1.82,0.44,0.14,0.41,0.73,0.43,1.04,2.30,13.52,66.63,1.00,0.33,3.00,0.33,0.57,1.48,15.54,6.64,19.89,0.07,0.11,0.36
2015,1,1.42,1.46,0.20,0.25,0.33,0.79,0.53,1.61,5.11,9.54,72.13,1.00,0.28,3.59,0.28,0.41,1.24,19.69,10.42,37.38,0.10,0.15,1.01
